Temperature, Points:0, Points:1, Points:2
0.0,0.0,0.0,0
0.333333333333,0.333333333333,0.0,0
0.666666666667,0.666666666667,0.0,0
1.0,1.0,0.0,0
0.333333333333,0.0,0.333333333333,0
0.611111111111,0.333333333333,0.333333333333,0
0.888888888889,0.666666666667,0.333333333333,0
1.11111111111,1.0,0.333333333333,0
0.666666666667,0.0,0.666666666667,0
0.888888888889,0.333333333333,0.666666666667,0
1.16666666667,0.666666666667,0.666666666667,0
1.44444444444,1.0,0.666666666667,0
1.0,0.0,1.0,0
1.11111111111,0.333333333333,1.0,0
1.44444444444,0.666666666667,1.0,0
2.0,1.0,1.0,0
